[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:25:33.319972] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:36.321629] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:39.322755] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:42.324341] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:45.325448] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:48.326625] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:51.327793] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:54.328936] 更新完成: 22 sessions, 0 active
[2026-02-26T10:25:57.330222] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:00.331752] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:03.332877] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:06.334516] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:09.335662] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:12.336859] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:15.337985] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:18.339136] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:21.340326] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:24.341453] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:27.342620] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:30.344274] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:33.345395] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:36.346933] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:39.348056] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:42.349639] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:45.350809] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:48.351955] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:51.353127] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:54.354290] 更新完成: 22 sessions, 0 active
[2026-02-26T10:26:57.355481] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:00.357035] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:03.358182] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:06.359321] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:09.360559] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:12.361696] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:15.362835] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:18.363970] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:21.365101] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:24.366224] 更新完成: 22 sessions, 0 active
[2026-02-26T10:27:27.367368] 更新完成: 22 sessions, 0 active
